matrix1,matrix2,distance_bin,constant1,constant2,n,mean1,mean2,variance1,variance2,covariance,distbased_spssim,global_spssim
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(0, 10)",0,1.2323023240453003e-17,3218436,0.0002525393836370907,0.00025281000805247065,6.1092872382679815e-06,6.210212471223845e-06,5.578436588642472e-06,0.905626611568666,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(10, 20)",0,1.2323023240453003e-17,3218436,0.00016640719885115495,0.00016630691056010905,2.7036859229591674e-06,2.7593770107451608e-06,2.3630066997507832e-06,0.8650847698576077,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(20, 30)",0,1.2323023240453003e-17,3218436,7.961711570706793e-05,7.943025871124961e-05,9.36667815307237e-07,9.56394351312062e-07,7.774227268454774e-07,0.8213365566574209,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(30, 40)",0,1.2323023240453003e-17,3218436,2.9603446987802214e-05,2.9694075869731224e-05,2.580089620214289e-07,2.699642067138184e-07,2.0015323799130406e-07,0.7581911913662192,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(40, 50)",0,1.2323023240453003e-17,3218436,1.6081516416483206e-05,1.5942610620707037e-05,9.247834602960159e-08,9.077108898021461e-08,5.651545866184113e-08,0.6167913381348327,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(50, 60)",0,1.2323023240453003e-17,3218436,8.382213116569341e-06,8.436750967654574e-06,4.6416368745013535e-08,4.304495596930973e-08,2.598214756848435e-08,0.580845438405045,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(60, 70)",0,1.2323023240453003e-17,3218436,3.312647756585616e-06,3.3943016161787525e-06,1.3753047517898117e-08,1.4528432074449266e-08,5.421036390307105e-09,0.38324937103980883,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(70, 80)",0,1.2323023240453003e-17,3218436,1.0785476970074423e-06,1.0340083220024558e-06,4.379966286486999e-09,3.4597004259266574e-09,9.008138193053291e-10,0.22960500474777362,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(80, 90)",0,1.2323023240453003e-17,3218436,3.0407303040856097e-07,2.67683726833005e-07,4.82367679690638e-09,3.318811524927629e-09,3.0944204644428716e-09,0.7539348274082455,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(90, 100)",0,1.2323023240453003e-17,3218436,7.782013416817872e-08,8.819876786888965e-08,3.98266727513057e-10,5.576804052271005e-10,1.1118818274112776e-10,0.230812978059552,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(100, 110)",0,1.2323023240453003e-17,3218436,7.535532504402356e-09,5.862451367155228e-09,3.8269381803891167e-11,2.7653046710320917e-11,1.5759238588555952e-11,0.4634323198107636,0.5507425339213279
sample_data/sd_lodes_2017_flow_probabilities_matrix,sample_data/sd_lodes_2019_flow_probabilities_matrix,"(110, 120)",0,1.2323023240453003e-17,3218436,2.102025013053017e-09,2.9312256835776445e-09,9.580455673732134e-12,2.765307248658144e-11,-6.161511620226501e-18,3.919369184799402e-23,0.5507425339213279
